number,kanji,kanji,pronunciation,example,comments
1749,浮,浮,"フ うく うかれる うかぶ うかべる","浮沈，浮力，浮薄浮く，浮き，浮世絵浮かれる浮かぶ浮かべる","浮気（うわき）浮（うわ）つく",
1750,婦,婦,フ,婦人，夫婦，主婦,,
1751,符,符,フ,符号，切符，音符,,
1752,富,富,"フ  フウ とむ とみ","富強，富裕，貧富富貴富む，富み栄える富","富山（とやま）県「富貴」は，「フッキ」とも。",
1753,普,普,フ,普通，普遍，普請,,
1754,腐,腐,"フ くさる くされる くさらす","腐心，腐敗，陳腐腐る腐れ縁，ふて腐れる腐らす",,
1755,敷,敷,"フ しく","敷設敷く，敷石，屋敷",桟敷（さじき）,
1756,膚,膚,フ,皮膚，完膚,,
1757,賦,賦,フ,賦役，月賦，天賦,,
1758,譜,譜,フ,系譜，楽譜，年譜,,
1759,侮（侮）,侮（侮）,"ブ あなどる","侮辱，軽侮侮る，侮り",,
1760,武,武,"ブ ム","武力，武士，文武武者人形，荒武者",,
1761,部,部,ブ,部分，全部，本部,部屋（へや）,
1762,舞,舞,"ブ まう まい","舞踏，舞台，鼓舞舞う，舞い上がる舞，舞扇",,
1763,封,封,"フウ ホウ","封鎖，封書，密封封建的，素封家",,
1764,風,風,"フウ  フ かぜ  かざ","風力，風俗，強風風情，中風風，そよ風風上，風車",風邪（かぜ）,
1765,伏,伏,"フク ふせる ふす","伏線，起伏，潜伏伏せる，うつ伏せ伏す，伏し拝む",,
1766,服,服,フク,服装，服従，洋服,,
1767,副,副,フク,副業，副作用，正副,,
1768,幅,幅,"フク はば","幅員，振幅，全幅幅，横幅",,
1769,復,復,フク,復活，往復，報復,,
1770,福（福）,福（福）,フク,福祉，福徳，幸福,,
1771,腹,腹,"フク はら","腹案，空腹，山腹腹，腹芸，太っ腹",,
1772,複,複,フク,複数，複雑，重複,,
1773,覆,覆,"フク おおう くつがえす くつがえる","覆面，転覆覆う，覆い覆す覆る",,
1774,払（拂）,払（拂）,"フツ はらう","払暁，払底払う，払い，月払い",,
1775,沸,沸,"フツ わく わかす","沸騰，沸点，煮沸沸く，沸き上がる沸かす，湯沸かし",⇔湧く,
1776,仏（佛）,仏（佛）,"ブツ ほとけ","仏事，仏像，念仏仏，仏様，生き仏",,
1777,物,物,"ブツ モツ もの","物質，人物，動物食物，進物，禁物物，物語，品物",果物（くだもの）,
1778,粉,粉,"フン こ こな","粉末，粉砕，粉飾粉，小麦粉粉，粉雪",,
1779,紛,紛,"フン まぎれる まぎらす まぎらわす まぎらわしい","紛失，紛争，内紛紛れる，紛れ紛らす紛らわす紛らわしい",,
1780,雰,雰,フン,雰囲気,,
1781,噴,噴,"フン ふく","噴火，噴出，噴水噴く，噴き出す",⇔吹く,
1782,墳,墳,フン,墳墓，古墳,,
1783,憤,憤,"フン いきどおる","憤慨，義憤，発憤憤る，憤り",,
1784,奮,奮,"フン ふるう","奮起，奮発，興奮奮う，奮い立つ，奮って〔副〕",⇔震う，振るう,
1785,分,分,"ブン フン ブ わける わかれる わかる わかつ","分解，自分，水分分別，分銅，三十分一分一厘，五分分ける，引き分け分かれる分かる分かつ，分かち合う","大分（おおいた）県⇔別れる",
1786,文,文,"ブン モン ふみ","文学，文化，作文文字，経文，天文学恋文",「文字」は，「モジ」とも。,
1787,聞,聞,"ブン モン きく きこえる","新聞，風聞，見聞聴聞，前代未聞聞く，人聞き聞こえる，聞こえ",⇔聴く,
1788,丙,丙,ヘイ,丙種，甲乙丙,,
1789,平,平,"ヘイ ビョウ たいら ひら","平面，平和，公平平等平らな土地，平らげる平手，平謝り，平たい",,
1790,兵,兵,"ヘイ ヒョウ","兵器，兵隊，撤兵兵糧，雑兵",,
1791,併（倂）,併（倂）,"ヘイ あわせる","併合，併用，合併併せる，併せて〔接〕",⇔合わせる,
1792,並（竝）,並（竝）,"ヘイ なみ ならべる ならぶ ならびに","並行，並列，並立並の品，並木，足並み並べる，五目並べ並ぶ，並び並びに",,
1793,柄,柄,"ヘイ がら え","横柄，権柄ずく柄，家柄，身柄柄",,
1794,陛,陛,ヘイ,陛下,,
1795,閉,閉,"ヘイ とじる とざす しめる しまる","閉店，閉口，密閉閉じる，閉じ込める閉ざす閉める閉まる","⇔締める⇔締まる",
1796,塀（塀）,塀（塀）,ヘイ,塀，板塀,,
1797,幣,幣,ヘイ,貨幣，紙幣，御幣担ぎ,,
1798,弊,弊,ヘイ,弊害，旧弊，疲弊,,
1799,蔽,蔽,ヘイ,隠蔽,＊［（付）第２の３参照］,
1800,"餅［餅］（餠）","餅［餅］（餠）","ヘイ もち","煎餅餅屋，尻餅","［餅］＝許容字体，＊［（付）第２の３【餌】参照］",
1801,米,米,"ベイ マイ こめ","米作，米価，米食精米，新米，白米米，米粒",,
1802,壁,壁,"ヘキ かべ","壁面，壁画，岸壁壁，壁土，白壁",,
1803,璧,璧,ヘキ,完璧，双璧,,
1804,癖,癖,"ヘキ くせ","習癖，病癖，潔癖癖，口癖",,
1805,別,別,"ベツ わかれる","別離，区別，特別別れる，別れ",⇔分かれる,
1806,蔑,蔑,"ベツ さげすむ","蔑視，軽蔑蔑む",,
1807,片,片,"ヘン かた","紙片，破片，断片片方，片手，片一方",,
1808,辺（邊）,辺（邊）,"ヘン あたり べ","辺境，周辺，その辺辺り海辺，岸辺",,
1809,返,返,"ヘン かえす かえる","返却，返事，返礼返す，仕返し返る，寝返り","⇔帰す⇔帰る",
1810,変（變）,変（變）,"ヘン かわる かえる","変化，異変，大変変わる，変わり種変える","⇔替わる，代わる，換わる⇔替える，代える，換える",
1811,偏,偏,"ヘン かたよる","偏向，偏見，偏食偏る，偏り",,
1812,遍,遍,ヘン,遍歴，普遍，一遍,,
1813,編,編,"ヘン あむ","編集，編成，長編編む，手編み",,
1814,弁（辨）（瓣）（辯）,弁（辨）（瓣）（辯）,ベン,弁償，花弁，雄弁,,
1815,便,便,"ベン ビン たより","便利，便法，簡便便乗，郵便，定期便便り，初便り，花便り",,
1816,勉（勉）,勉（勉）,ベン,勉強，勉学，勤勉,,
1817,歩（步）,歩（步）,"ホ ブ  フ あるく あゆむ","歩道，徒歩，進歩歩合，日歩歩歩く歩む，歩み",,
1818,保,保,"ホ たもつ","保護，保存，担保保つ",,
1819,哺,哺,ホ,哺乳類,,
1820,捕,捕,"ホ とらえる とらわれる とる つかまえる つかまる","捕獲，捕虜，逮捕捕らえる捕らわれる捕る，捕り物捕まえる捕まる","⇔捉える⇔取る，採る",
1821,補,補,"ホ おぎなう","補欠，補充，候補補う，補い",,
1822,舗,舗,ホ,舗装，店舗,老舗（しにせ）,
1823,母,母,"ボ はは","母性，父母，祖母母，母親","乳母（うば）叔母・伯母（おば）母屋・母家（おもや）母（かあ）さん",
1824,募,募,"ボ つのる","募金，募集，応募募る",,
1825,墓,墓,"ボ はか","墓地，墓参，墓穴墓，墓参り",,
1826,慕,慕,"ボ したう","慕情，敬慕，思慕慕う，慕わしい",,
1827,暮,暮,"ボ くれる くらす","暮春，歳暮，薄暮暮れる，暮れ暮らす，暮らし",,
1828,簿,簿,ボ,簿記，名簿，帳簿,,
1829,方,方,"ホウ かた","方法，方角，地方お乗りの方，話し方，敵方",行方（ゆくえ）,
1830,包,包,"ホウ つつむ","包囲，包容力，内包包む，包み，小包",,
1831,芳,芳,"ホウ かんばしい","芳香，芳紀，芳志芳しい，芳しさ",,
1832,邦,邦,ホウ,邦楽，本邦，連邦,,
1833,奉,奉,"ホウ  ブ たてまつる","奉納，奉仕，信奉奉行奉る",,
1834,宝（寶）,宝（寶）,"ホウ たから","宝石，国宝，財宝宝，宝船，子宝",,
1835,抱,抱,"ホウ だく いだく かかえる","抱負，抱懐，介抱抱く抱く抱える，一抱え",,
1836,放,放,"ホウ はなす はなつ はなれる ほうる","放送，放棄，追放放す，手放す放つ放れる放る","⇔離す⇔離れる",
1837,法,法,"ホウ  ハッ  ホッ","法律，文法，方法法度法主",「法主」は，「ホウシュ」とも。,
1838,泡,泡,"ホウ あわ","気泡，水泡，発泡泡，泡立つ",,
1839,胞,胞,ホウ,胞子，同胞，細胞,,
1840,俸,俸,ホウ,俸給，年俸，本俸,,
1841,倣,倣,"ホウ ならう","模倣倣う",⇔習う,
1842,峰,峰,"ホウ みね","秀峰，霊峰，連峰峰，剣が峰",,
1843,砲,砲,ホウ,砲撃，大砲，鉄砲,,
1844,崩,崩,"ホウ くずれる くずす","崩壊崩れる，山崩れ崩す",雪崩（なだれ）,
1845,訪,訪,"ホウ おとずれる たずねる","訪問，来訪，探訪訪れる，訪れ訪ねる",⇔尋ねる,
1846,報,報,"ホウ むくいる","報酬，報告，情報報いる，報い",,
1847,蜂,蜂,"ホウ はち","蜂起蜜蜂",,
1848,豊（豐）,豊（豐）,"ホウ ゆたか","豊作，豊満，豊富豊かだ",,
1849,飽,飽,"ホウ あきる あかす","飽和，飽食飽きる，飽き，見飽きる……に飽かして",,
1850,褒（襃）,褒（襃）,"ホウ ほめる","褒章，褒美，過褒褒める",,
1851,縫,縫,"ホウ ぬう","縫合，縫製，裁縫縫う，縫い目",,
1852,亡,亡,"ボウ  モウ ない","亡父，亡命，存亡亡者亡い，亡き人，亡くす，亡くなる","多く文語の「亡き」で使う。⇔無い",
1853,乏,乏,"ボウ とぼしい","欠乏，貧乏，耐乏乏しい，乏しさ",,
1854,忙,忙,"ボウ いそがしい","忙殺，多忙，繁忙忙しい，忙しさ",,
1855,坊,坊,"ボウ  ボッ","坊主，朝寝坊，赤ん坊坊ちゃん",,
1856,妨,妨,"ボウ さまたげる","妨害妨げる，妨げ",,
1857,忘,忘,"ボウ わすれる","忘却，忘年会，備忘忘れる，物忘れ",,
1858,防,防,"ボウ ふせぐ","防備，堤防，予防防ぐ，防ぎ",,
1859,房,房,"ボウ ふさ","独房，冷房，僧房房，一房，乳房",,
1860,肪,肪,ボウ,脂肪,,
1861,某,某,ボウ,某氏，某国，某所,,
1862,冒,冒,"ボウ おかす","冒険，冒頭，感冒冒す",⇔犯す，侵す,
1863,剖,剖,ボウ,解剖,,
1864,紡,紡,"ボウ つむぐ","紡績，混紡紡ぐ",,
1865,望,望,"ボウ モウ のぞむ","望郷，希望，人望所望，大望，本望望む，望み，望ましい",「大望」は，「タイボウ」とも。,
1866,傍,傍,"ボウ かたわら","傍線，傍聴，路傍傍ら",,
1867,帽,帽,ボウ,帽子，脱帽，無帽,,
1868,棒,棒,ボウ,棒グラフ，棒読み，鉄棒,,
1869,貿,貿,ボウ,貿易,,
1870,貌,貌,ボウ,変貌，美貌,,
1871,暴,暴,"ボウ  バク あばく あばれる","暴言，横暴，乱暴暴露暴く，暴き出す暴れる，大暴れ",,
1872,膨,膨,"ボウ ふくらむ ふくれる","膨大膨らむ，膨らみ膨れる，青膨れ",,
1873,謀,謀,"ボウ  ム はかる","謀略，無謀，首謀者謀反謀る",⇔計る，量る，図る,
1874,頰,頰,ほお,頰，頰張る,"＊［（付）第２の３参照］「頰」は，「ほほ」とも。",
1875,北,北,"ホク きた","北進，北方，敗北北，北風，北半球",,
1876,木,木,"ボク モク き  こ","木石，大木，土木木造，樹木，材木木，並木，拍子木木立，木陰",木綿（もめん）,
1877,朴,朴,ボク,純朴，素朴,,
1878,牧,牧,"ボク まき","牧場，牧師，遊牧牧場",,
1879,睦,睦,ボク,親睦，和睦,,
1880,僕,僕,ボク,僕，公僕,,
1881,墨（墨）,墨（墨）,"ボク すみ","筆墨，白墨，遺墨墨，墨絵，眉墨",,
1882,撲,撲,ボク,撲殺，撲滅，打撲,相撲（すもう）,
1883,没,没,ボツ,没収，没交渉，出没,,
1884,勃,勃,ボツ,勃興，勃発,,
1885,堀,堀,ほり,堀，外堀，釣堀,,
1886,本,本,"ホン もと","本質，本来，資本本，旗本",⇔下，元，基,
1887,奔,奔,ホン,奔走，奔放，出奔,,
1888,翻（飜）,翻（飜）,"ホン ひるがえる ひるがえす","翻意，翻訳，翻刻翻る翻す",,
1889,凡,凡,"ボン  ハン","凡人，凡百，平凡凡例",,
1890,盆,盆,ボン,盆栽，盆地，旧盆,,
1891,麻,麻,"マ あさ","麻薬，麻酔，亜麻麻",,
1892,摩,摩,マ,摩擦，摩天楼,,
1893,磨,磨,"マ みがく","研磨磨く，磨き粉",,
1894,魔,魔,マ,魔法，悪魔，邪魔,,
1895,毎（每）,毎（每）,マイ,毎度，毎日，毎々,,
1896,妹,妹,"マイ いもうと","姉妹，義妹，令妹妹",,
1897,枚,枚,マイ,枚数，枚挙，大枚,,
1898,昧,昧,マイ,曖昧，三昧,,
1899,埋,埋,"マイ うめる うまる うもれる","埋没，埋蔵，埋葬埋める，埋め立て，穴埋め埋まる埋もれる，埋もれ木",,
1900,幕,幕,"マク バク","幕切れ，天幕，暗幕幕府，幕末，幕僚",,
1901,膜,膜,マク,膜質，鼓膜，粘膜,,
1902,枕,枕,まくら,枕，枕元,,
1903,又,又,また,又，又は,,
1904,末,末,"マツ バツ すえ","末代，本末，粉末末子，末弟末，末っ子，末頼もしい","「末子」，「末弟」は，「マッシ」，「マッテイ」とも。",
1905,抹,抹,マツ,抹殺，抹消，一抹,,
1906,万（萬）,万（萬）,"マン バン","万一，万年筆，巨万万国，万端，万全",,
1907,満（滿）,満（滿）,"マン みちる みたす","満月，満足，充満満ちる，満ち潮満たす",,
1908,慢,慢,マン,慢性，怠慢，自慢,,
1909,漫,漫,マン,漫画，漫歩，散漫,,
1910,未,未,ミ,未来，未満，前代未聞,,
1911,味,味,"ミ あじ あじわう","味覚，意味，興味味，味見，塩味味わう，味わい",三味線（しゃみせん）,
1912,魅,魅,ミ,魅力，魅惑，魅する,,
1913,岬,岬,みさき,岬,,
1914,密,密,ミツ,密約，厳密，秘密,,
1915,蜜,蜜,ミツ,蜜，蜜月,,
1916,脈,脈,ミャク,脈絡，動脈，山脈,,
1917,妙,妙,ミョウ,妙案，奇妙，巧妙,,
1918,民,民,"ミン たみ","民族，民主的，国民民",,
1919,眠,眠,"ミン ねむる ねむい","不眠，安眠，睡眠眠る，眠り眠い，眠たい，眠気",,
1920,矛,矛,"ム ほこ","矛盾矛，矛先",,
1921,務,務,"ム つとめる つとまる","事務，職務，義務務める，務め務まる","⇔勤める，努める⇔勤まる",
1922,無,無,"ム ブ ない","無名，無理，皆無無事，無礼，無愛想無い，無くす，無くなる",⇔亡い,
1923,夢,夢,"ム ゆめ","夢幻，夢中，悪夢夢，夢見る，初夢",,
1924,霧,霧,"ム きり","霧笛，濃霧，噴霧器霧，霧雨，朝霧",,
1925,娘,娘,むすめ,娘，娘心，小娘,,
1926,名,名,"メイ ミョウ な","名誉，氏名，有名名字，本名，大名名，名前","仮名（かな）名残（なごり）",
1927,命,命,"メイ ミョウ いのち","命令，運命，生命寿命命，命拾い",,
1928,明,明,"メイ ミョウ あかり あかるい あかるむ あからむ あきらか あける あく あくる あかす","明暗，説明，鮮明明日，光明，灯明明かり，薄明かり明るい，明るさ明るむ明らむ明らかだ明ける，夜明け明く明くる日，明くる朝明かす，種明かし","明日（あす）⇔開ける，空ける⇔開く，空く",
1929,迷,迷,"メイ まよう","迷路，迷惑，低迷迷う，迷い",迷子（まいご）,
1930,冥,冥,"メイ ミョウ","冥福冥加，冥利",,
1931,盟,盟,メイ,加盟，同盟，連盟,,
1932,銘,銘,メイ,銘柄，碑銘,,
1933,鳴,鳴,"メイ なく なる ならす","鳴動，悲鳴，雷鳴鳴く，鳴き声鳴る，耳鳴り鳴らす",,
1934,滅,滅,"メツ ほろびる ほろぼす","滅亡，消滅，絶滅滅びる滅ぼす",,
1935,免（免）,免（免）,"メン まぬかれる","免許，免除，放免免れる",「まぬがれる」とも。,
1936,面,面,"メン おも おもて つら","面会，顔面，方面川の面，面影，面長面，細面面，面魂，鼻面","真面目（まじめ）⇔表",
1937,綿,綿,"メン わた","綿布，綿密，純綿綿，真綿",木綿（もめん）,
1938,麺（麵）,麺（麵）,メン,麺類,,
1939,茂,茂,"モ しげる","繁茂茂る，茂み",,
1940,模,模,"モ ボ","模範，模型，模倣規模",,
1941,毛,毛,"モウ け","毛髪，毛細管，不毛毛，毛糸，抜け毛",,
1942,妄,妄,"モウ ボウ","妄信，妄想，迷妄妄言",「妄言」は，「モウゲン」とも。,
1943,盲,盲,モウ,盲点，盲従，文盲,,
1944,耗,耗,"モウ  コウ","消耗心神耗弱",「モウ」は，慣用音。,
1945,猛,猛,モウ,猛烈，猛獣，勇猛,猛者（もさ）,
1946,網,網,"モウ あみ","網膜，漁網，通信網網，網戸",投網（とあみ）,
1947,目,目,"モク  ボク め  ま","目的，目前，項目面目目，目立つ，結び目目の当たり，目深","「面目」は，「メンモク」とも。真面目（まじめ）",
1948,黙（默）,黙（默）,"モク だまる","黙殺，暗黙，沈黙黙る，黙り込む",,
1949,門,門,"モン かど","門戸，門下生，専門門，門口，門松",,
1950,紋,紋,モン,紋章，指紋，波紋,,
1951,問,問,"モン とう とい  とん","問題，問答，訪問問う，問いただす問い問屋",「問屋」は，「といや」とも。,
1952,冶,冶,ヤ,冶金，陶冶,鍛冶（かじ）,
1953,夜,夜,"ヤ よ よる","夜半，深夜，昼夜夜が明ける，夜風，月夜夜，夜昼",,
1954,野,野,"ヤ の","野外，野性，分野野，野原，野放し",野良（のら）,
1955,弥（彌）,弥（彌）,や,,弥生（やよい）,
1956,厄,厄,ヤク,厄，厄年，災厄,,
1957,役,役,"ヤク エキ","役所，役目，荷役役務，使役，兵役",,
1958,約,約,ヤク,約束，約半分，節約,,
1959,訳（譯）,訳（譯）,"ヤク わけ","訳文，翻訳，通訳訳，内訳，申し訳",,
1960,薬（藥）,薬（藥）,"ヤク くすり","薬剤，薬局，火薬薬，飲み薬",,
1961,躍,躍,"ヤク おどる","躍動，躍起，飛躍躍る，躍り上がる",⇔踊る,
1962,闇,闇,やみ,闇夜，暗闇,,
1963,由,由,"ユ ユウ  ユイ よし","由来，経由自由，理由，事由由緒……の由",,
1964,油,油,"ユ あぶら","油脂，油田，石油油，油絵，水油",⇔脂,
1965,喩,喩,ユ,比喩,＊［（付）第２の３参照］,
1966,愉,愉,ユ,愉快，愉悦,,
1967,諭,諭,"ユ さとす","諭旨，教諭，説諭諭す，諭し",,
1968,輸,輸,ユ,輸出，輸送，運輸,,
1969,癒,癒,"ユ いえる いやす","癒着，治癒，平癒癒える癒やす",,
1970,唯,唯,"ユイ  イ","唯一，唯物論，唯美主義唯々諾々",,
1971,友,友,"ユウ とも","友好，友情，親友友",友達（ともだち）,
1972,有,有,"ユウ ウ ある","有益，所有，特有有無，有象無象有る，有り金",⇔在る,
1973,勇,勇,"ユウ いさむ","勇敢，勇気，武勇勇む，勇み足，勇ましい",,
1974,幽,幽,ユウ,幽境，幽玄，幽霊,,
1975,悠,悠,ユウ,悠然，悠長，悠々,,
1976,郵,郵,ユウ,郵便，郵送，郵券,,
1977,湧,湧,"ユウ わく","湧水，湧出湧く",⇔沸く,
1978,猶,猶,ユウ,猶予,,
1979,裕,裕,ユウ,裕福，富裕，余裕,,
1980,遊,遊,"ユウ  ユ あそぶ","遊戯，遊離，交遊遊山遊ぶ，遊び",,
1981,雄,雄,"ユウ お おす","雄大，英雄，雌雄雄しべ，雄牛，雄々しい雄，雄犬",,
1982,誘,誘,"ユウ さそう","誘惑，誘発，勧誘誘う，誘い水",,
1983,憂,憂,"ユウ うれえる うれい うい","憂愁，憂慮，一喜一憂憂える，憂え憂い憂い，憂き目，物憂い","⇔愁える⇔愁い「憂き」は，文語の連体形。",
1984,融,融,ユウ,融解，融和，金融,,
1985,優,優,"ユウ やさしい すぐれる","優越，優柔，俳優優しい，優しさ優れる",,
1986,与（與）,与（與）,"ヨ あたえる","与党，授与，関与与える",,
1987,予（豫）,予（豫）,ヨ,予定，予備，猶予,,
1988,余（餘）,余（餘）,"ヨ あまる あます","余剰，余地，残余余る，余り余す",,
1989,誉（譽）,誉（譽）,"ヨ ほまれ","名誉，栄誉誉れ",,
1990,預,預,"ヨ あずける あずかる","預金，預託預ける預かる，預かり",,
1991,幼,幼,"ヨウ おさない","幼児，幼虫，幼稚幼い，幼友達",,
1992,用,用,"ヨウ もちいる","用意，使用，費用用いる",,
1993,羊,羊,"ヨウ ひつじ","羊毛，綿羊，牧羊羊",,
1994,妖,妖,"ヨウ あやしい","妖怪，妖艶妖しい",⇔怪しい,
1995,洋,洋,ヨウ,洋楽，洋風，海洋,,
1996,要,要,"ヨウ かなめ いる","要点，要注意，重要要要る",⇔入る,
1997,容,容,ヨウ,容易，容器，形容,,
1998,庸,庸,ヨウ,凡庸，中庸,,
1999,揚,扬,"ヨウ あげる あがる","意気揚々，抑揚，掲揚揚げる，荷揚げ揚がる","⇔上げる，挙げる⇔上がる，挙がる",
2000,揺（搖）,揺,"ヨウ ゆれる ゆる ゆらぐ ゆるぐ ゆする ゆさぶる ゆすぶる","動揺揺れる，揺れ揺り返し，揺り籠揺らぐ揺るぐ，揺るぎない揺する，貧乏揺すり揺さぶる揺すぶる",,
2001,葉,叶,"ヨウ は","葉緑素，落葉，紅葉葉，枯れ葉，落ち葉",紅葉（もみじ）,
2002,陽,阳,ヨウ,陽光，陰陽，太陽,,
2003,溶,溶,"ヨウ とける とかす とく","溶解，溶液，水溶液溶ける溶かす溶く","⇔解ける⇔解かす⇔解く",
2004,腰,腰,"ヨウ こし","腰痛，腰部腰，腰だめ，物腰",,
2005,様（樣）,样,"ヨウ さま","様式，様子，模様様，○○様",,
2006,瘍,伤,ヨウ,潰瘍，腫瘍,,
2007,踊,踊,"ヨウ おどる おどり","舞踊踊る踊り",⇔躍る,
2008,窯,窑,"ヨウ かま","窯業窯",,
2009,養,养,"ヨウ やしなう","養育，養子，休養養う",,
2010,擁,拥,ヨウ,擁護，擁立，抱擁,,
2011,謡（謠）,谣,"ヨウ うたい うたう","謡曲，民謡，歌謡謡，素謡謡う",⇔歌う,
2012,曜,曜,ヨウ,曜日，七曜表，日曜,,
2013,抑,抑,"ヨク おさえる","抑圧，抑制，抑揚抑える，抑え",⇔押さえる,
2014,沃,沃,ヨク,肥沃,,
2015,浴,浴,"ヨク あびる あびせる","浴場，海水浴浴びる，水浴び浴びせる",浴衣（ゆかた）,
2016,欲,欲,"ヨク ほっする ほしい","欲望，食欲，無欲欲する欲しい，欲しがる",,
2017,翌,翌,ヨク,翌春，翌年，翌々日,,
2018,翼,翼,"ヨク つばさ","左翼，尾翼翼",,
2019,拉,拉,ラ,拉致,,
2020,裸,裸,"ラ はだか","裸身，裸体，赤裸々裸，丸裸",,
2021,羅,罗,ラ,羅列，羅針盤，網羅,,
2022,来（來）,来,"ライ くる きたる きたす","来年，来歴，往来来る，出来心来る○日来す",,
2023,雷,雷,"ライ かみなり","雷雨，雷名，魚雷雷",,
2024,頼（賴）,頼,"ライ たのむ たのもしい たよる","依頼，信頼，無頼漢頼む，頼み頼もしい頼る，頼り",,
2025,絡,络,"ラク からむ からまる からめる","連絡，脈絡絡む，絡み付く絡まる絡める",,
2026,落,落,"ラク おちる おとす","落語，落涙，集落落ちる，落ち着く落とす，力落とし",,
2027,酪,酪,ラク,酪農,,
2028,辣,辣,ラツ,辣腕，辛辣,,
2029,乱（亂）,乱,"ラン みだれる みだす","乱戦，混乱，反乱乱れる，乱れ乱す",,
2030,卵,卵,"ラン たまご","卵黄，鶏卵，産卵卵",,
2031,覧（覽）,览,ラン,観覧，展覧，一覧,,
2032,濫,滥,ラン,濫伐，濫費，濫用,,
2033,藍,蓝,"ラン あい","出藍藍色，藍染め",,
2034,欄（欄）,栏,ラン,欄干，欄外，空欄,,
2035,吏,吏,リ,吏員，官吏，能吏,,
2036,利,利,"リ きく","利益，鋭利，勝利利く，左利き，口利き","砂利（じゃり）⇔効く",
2037,里,里,"リ さと","里程，郷里，千里眼里，里心，村里",,
2038,理,理,リ,理科，理由，整理,,
2039,痢,痢,リ,疫痢，下痢，赤痢,,
2040,裏,里,"リ うら","裏面，表裏裏，裏口",,
2041,履,履,"リ はく","履歴，履行，弊履履く，履物",草履（ぞうり）,
2042,璃,璃,リ,浄瑠璃,,
2043,離,离,"リ はなれる はなす","離別，距離，分離離れる，離れ，乳離れ離す","⇔放れる⇔放す",
2044,陸,陆,リク,陸地，陸橋，着陸,,
2045,立,立,"リツ  リュウ たつ たてる","立案，起立，独立建立立つ，立場，夕立立てる，立て札","立ち退く（たちのく）⇔建つ⇔建てる",
2046,律,律,"リツ  リチ","律動，規律，法律律儀",,
2047,慄,栗,リツ,慄然，戦慄,,
2048,略,略,リャク,略称，計略，侵略,,
2049,柳,柳,"リュウ やなぎ","花柳界，川柳柳，柳腰",,
2050,流,流,"リュウ  ル ながれる ながす","流行，流動，電流流布，流転，流罪流れる，流れ流す，流し",,
2051,留,留,"リュウ  ル とめる とまる","留意，留学，保留留守留める，帯留め留まる，歩留まり","⇔止める，泊める⇔止まる，泊まる",
2052,竜（龍）,龙,"リュウ たつ","竜，竜頭蛇尾竜巻",,
2053,粒,粒,"リュウ つぶ","粒子，粒々辛苦粒，豆粒",,
2054,隆（隆）,隆,リュウ,隆起，隆盛，興隆,,
2055,硫,硫,リュウ,硫安，硫酸，硫化銀,硫黄（いおう）,
2056,侶,侶,リョ,僧侶，伴侶,,
2057,旅,旅,"リョ たび","旅行，旅情，旅券旅，旅先，船旅",,
2058,虜（虜）,虏,リョ,虜囚，捕虜,,
2059,慮,虑,リョ,遠慮，考慮，無慮,,
2060,了,了,リョウ,了解，完了，校了,,
2061,両（兩）,两,リョウ,両親，両立，千両,,
2062,良,良,"リョウ  よい","良好，良心，優良良い","野良（のら）奈良（なら）県⇔善い",
2063,料,料,リョウ,料金，料理，材料,,
2064,涼,涼,"リョウ すずしい すずむ","涼味，清涼剤，納涼涼しい，涼しさ涼む，夕涼み",,
2065,猟（獵）,猎,リョウ,猟師，狩猟，渉猟,,
2066,陵,陵,"リョウ みささぎ","陵墓，丘陵陵",,
2067,量,量,"リョウ はかる","量産，測量，度量量る",⇔計る，測る，図る，謀る,
2068,僚,僚,リョウ,僚友，官僚，同僚,,
2069,領,领,リョウ,領土，要領，大統領,,
2070,寮,寮,リョウ,寮生，寮母，独身寮,,
2071,療,疗,リョウ,療養，医療，治療,,
2072,瞭,瞭,リョウ,明瞭,,
2073,糧,粮,"リョウ  ロウ かて","糧食，糧道兵糧糧",,
2074,力,力,"リョク リキ ちから","権力，努力，能力力量，力作，馬力力，力仕事，底力",,
2075,緑（綠）,绿,"リョク  ロク みどり","緑茶，緑陰，新緑緑青緑，薄緑",,
2076,林,林,"リン はやし","林業，林立，山林林，松林",,
2077,厘,厘,リン,一分一厘,,
2078,倫,伦,リン,倫理，人倫，絶倫,,
2079,輪,轮,"リン わ","輪番，一輪，車輪輪，輪切り，首輪",,
2080,隣,隣,"リン となる となり","隣室，隣接，近隣隣り合う隣，両隣",,
2081,臨,临,"リン のぞむ","臨時，臨床，君臨臨む",,
2082,瑠,瑠,ル,浄瑠璃,,
2083,涙（淚）,泪,"ルイ なみだ","感涙，声涙，落涙涙，涙ぐむ，涙ぐましい",,
2084,累,累,ルイ,累計，累積，係累,,
2085,塁（壘）,垒,ルイ,塁審，敵塁，土塁,,
2086,類（類）,类,"ルイ たぐい","類型，種類，分類類い，○○の類い",,
2087,令,令,レイ,令嬢，法令，命令,,
2088,礼（禮）,礼,"レイ ライ","礼儀，謝礼，無礼礼賛，礼拝",「礼拝」は，「レイハイ」とも。,
2089,冷,冷,"レイ つめたい ひえる ひや ひやす ひやかす さめる さます","冷却，冷淡，寒冷冷たい，冷たさ冷える，底冷え冷や，冷や汗，冷ややかだ冷やす冷やかす，冷やかし冷める冷ます，湯冷まし",,
2090,励（勵）,励,"レイ はげむ はげます","励行，奨励，精励励む，励み励ます，励まし",,
